location,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction,Cloud Cover Total,Sunshine Duration
unit,°C,mm,%,km/h,°,%,min
level,2 m elevation corrected,sfc,2 m,10 m,10 m,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Cloud Cover Total,Basel Sunshine Duration
20220103T2100,11.420245,0.5,77.24474,13.392774,216.25385,98.0,0.0
20220103T2200,11.150246,0.6,79.731895,16.548256,224.11859,99.0,0.0
20220103T2300,11.440246,0.3,77.14209,16.92383,218.08878,94.0,0.0
20220104T0000,11.400246,0.6,77.56019,15.1884165,211.42957,96.0,0.0
20220104T0100,11.420245,0.8,76.558136,15.844089,201.31792,89.0,0.0
20220104T0200,11.950245,0.4,73.254684,14.24163,200.72556,98.0,0.0
20220104T0300,12.010245,0.4,75.77127,16.055353,199.65382,95.0,0.0
20220104T0400,12.320246,0.8,78.98929,21.470612,214.75592,99.0,0.0
20220104T0500,12.140245,1.0,82.468445,22.473343,215.21759,98.0,0.0
20220104T0600,12.130245,0.8,83.42142,22.870626,208.17859,97.0,0.0
20220104T0700,12.900246,0.0,77.64504,26.785547,216.25385,99.0,0.0
20220104T0800,13.720245,0.0,70.25891,26.712873,217.33319,34.0,28.494951
20220104T0900,14.150246,0.0,65.52666,25.661207,214.13594,28.800001,42.545456
20220104T1000,15.3102455,0.0,58.609344,28.90107,230.55995,66.0,19.999998
20220104T1100,15.920245,0.0,56.120777,25.77962,234.09029,90.0,5.454544
20220104T1200,16.250246,0.1,53.89537,27.169865,237.99463,100.0,0.0
20220104T1300,15.070246,0.4,59.72979,28.185955,241.79837,87.0,7.2727275
20220104T1400,13.380245,0.8,70.96174,26.525429,251.81096,72.0,16.363636
20220104T1500,13.030245,0.3,71.6236,21.316135,265.156,36.0,38.181816
20220104T1600,13.270246,0.2,70.9399,13.339445,273.09406,81.0,9.754546
20220104T1700,12.550245,0.7,75.29755,10.041354,284.53445,95.0,0.0
20220104T1800,11.420245,1.3,83.1052,9.19939,300.57922,99.0,0.0
20220104T1900,9.620245,1.4,89.5015,9.931042,316.4688,97.0,0.0
20220104T2000,8.080246,1.7,89.30239,11.966954,316.21887,100.0,0.0
20220104T2100,7.250245,1.2,86.82677,11.525623,308.65982,100.0,0.0
20220104T2200,6.290245,1.5,81.13365,10.105681,265.91437,92.0,0.0
20220104T2300,5.670245,1.6,84.042435,9.085988,236.30994,100.0,0.0
20220105T0000,5.610245,1.1,85.42093,8.654986,196.92752,98.0,0.0
20220105T0100,5.6002455,0.6,87.19667,12.641076,199.98311,98.0,0.0
20220105T0200,5.480245,0.7,88.491615,14.689588,216.02737,100.0,0.0
20220105T0300,5.4702454,0.8,88.49059,14.336861,218.88449,100.0,0.0
20220105T0400,5.3102455,0.7,87.78614,15.696165,233.39293,99.0,0.0
20220105T0500,4.8502455,0.5,83.45338,15.328561,260.5377,93.0,0.0
20220105T0600,4.2102456,0.3,82.229805,15.509274,291.8014,86.0,0.0
20220105T0700,3.8802452,0.3,80.47135,14.81259,295.94232,80.0,0.0
20220105T0800,3.4402456,0.0,79.121544,12.57426,283.2405,44.0,24.166668
20220105T0900,3.1302452,0.0,73.68332,13.039754,276.34018,47.0,31.51515
20220105T1000,3.2002454,0.0,72.778625,14.869351,276.95297,16.0,50.303032
20220105T1100,3.2502456,0.0,67.89054,14.869351,276.95297,33.0,39.999996
20220105T1200,3.7002454,0.0,63.875984,15.192682,283.70697,51.0,29.09091
20220105T1300,4.1002455,0.0,58.177803,14.759999,282.6804,78.0,12.727271
20220105T1400,4.0402455,0.0,56.22099,12.371645,278.3659,71.0,16.969696
20220105T1500,3.7402453,0.0,58.606697,9.47012,261.25385,45.0,32.727272
20220105T1600,2.4002454,0.0,65.6889,7.10031,239.53445,37.0,34.24613
20220105T1700,1.9502454,0.0,70.53971,5.6233797,230.19443,30.0,0.0
20220105T1800,0.9002454,0.0,78.567986,5.3517847,227.72632,32.0,0.0
20220105T1900,0.84024537,0.0,80.274216,5.6233797,230.19443,60.0,0.0
20220105T2000,1.2002454,0.0,80.51266,5.0911684,225.0,84.0,0.0
20220105T2100,1.3602455,0.0,81.2578,4.8433046,221.98721,78.0,0.0
20220105T2200,1.2002454,0.0,86.55992,6.151683,200.55605,65.0,0.0
20220105T2300,1.0702454,0.0,87.69847,5.95906,205.01689,71.0,0.0
20220106T0000,1.5602454,0.0,86.730934,5.1919937,213.69006,69.0,0.0
20220106T0100,1.7302454,0.0,86.87855,5.1165614,219.28941,86.0,0.0
20220106T0200,1.8102454,0.0,86.634026,4.8433046,221.98721,86.0,0.0
20220106T0300,2.0002456,0.1,86.3407,4.8433046,221.98721,79.0,0.0
20220106T0400,1.9902455,0.2,87.03653,5.1165614,219.28941,88.0,0.0
20220106T0500,1.8102454,0.3,88.94427,4.6102495,218.65982,84.0,0.0
20220106T0600,1.8002454,0.2,90.976204,4.3349743,221.63354,83.0,0.0
20220106T0700,1.6702454,0.2,92.83788,6.1305785,220.23636,63.0,0.0
20220106T0800,2.1002455,0.0,89.55911,5.00128,210.25644,82.0,7.5183496
20220106T0900,2.4702454,0.0,89.27122,3.0547013,225.0,79.0,12.121214
20220106T1000,3.2502456,0.0,85.93003,4.39436,304.99203,54.0,27.272726
20220106T1100,3.5602455,0.0,81.24367,6.28713,336.37064,67.0,19.393942
20220106T1200,4.170245,0.0,77.64807,6.9899354,348.11133,58.0,24.848484
20220106T1300,4.4802456,0.0,75.917366,6.130579,3.3664398,49.0,30.303032
20220106T1400,4.150245,0.0,79.12522,5.1544156,12.094757,46.0,32.121212
20220106T1500,3.9402456,0.0,81.36101,2.5455842,8.130096,48.0,30.90909
20220106T1600,2.1902454,0.0,88.20972,1.835647,11.309921,36.0,35.54091
20220106T1700,2.1502454,0.0,88.01276,1.0182338,44.999985,34.0,0.0
20220106T1800,1.5802454,0.0,90.95654,2.8116899,320.19443,19.0,0.0
20220106T1900,0.8702454,0.0,91.96498,1.5273507,44.999985,16.0,0.0
20220106T2000,0.3102454,0.0,92.05339,0.35999998,180.0,15.0,0.0
20220106T2100,-0.009754598,0.0,91.89073,1.609969,153.43495,9.0,0.0
20220106T2200,-1.1897546,0.0,92.95853,3.6179552,174.28941,4.0,0.0
20220106T2300,-1.4697546,0.0,92.86688,6.638072,167.47119,9.900001,0.0
20220107T0000,-2.0597544,0.0,92.61025,5.0142193,158.9625,27.000002,0.0
20220107T0100,-1.6297547,0.0,91.543396,4.896529,162.89728,29.400002,0.0
20220107T0200,-0.88975465,0.0,90.93057,4.802999,167.00539,30.000002,0.0
20220107T0300,-0.9597546,0.0,91.740204,5.4119864,176.18593,73.0,0.0
20220107T0400,-1.0497546,0.0,91.80061,6.4799995,180.0,84.0,0.0
20220107T0500,-0.89975464,0.0,91.13299,6.162207,186.70984,70.0,0.0
20220107T0600,-0.62975454,0.0,90.21425,6.5693827,189.46233,68.0,0.0
20220107T0700,-0.4597546,0.0,88.43775,7.5685663,182.72632,58.0,0.0
20220107T0800,0.080245405,0.0,85.59016,9.028754,175.42609,44.0,24.50926
20220107T0900,0.84024537,0.0,85.05783,9.746631,175.76361,42.0,34.545456
20220107T1000,1.8302454,0.0,83.45493,11.165805,181.84761,85.0,8.48485
20220107T1100,2.0102453,0.0,83.48057,11.525623,194.47029,78.0,12.727271
20220107T1200,2.0202456,0.1,86.91298,14.039999,202.61987,86.0,7.878789
20220107T1300,1.6602454,0.4,93.17524,14.654254,207.8241,87.0,7.2727275
20220107T1400,1.6002454,0.3,97.1048,12.313894,217.87498,88.0,6.666666
20220107T1500,1.7702454,0.2,96.761566,13.004922,221.63354,98.0,0.6060612
20220107T1600,1.9602454,0.2,95.72713,13.324863,218.41806,94.0,2.8787875
20220107T1700,1.7802454,0.2,97.675285,13.104198,217.18471,82.0,0.0
20220107T1800,1.9202454,0.4,98.17486,13.755579,222.8789,82.0,0.0
20220107T1900,2.1502454,0.0,95.39217,13.246826,222.7974,92.0,0.0
20220107T2000,2.5302453,0.0,93.84504,13.089354,211.50427,94.0,0.0
20220107T2100,2.8202453,0.0,93.52713,14.007655,205.90651,97.0,0.0
20220107T2200,2.9202452,0.0,90.028984,14.658676,204.67686,97.0,0.0
20220107T2300,3.2702456,0.0,86.933105,17.193533,199.57312,47.0,0.0
20220108T0000,3.4502454,0.2,84.842476,18.345877,195.94539,98.0,0.0
20220108T0100,3.3702455,1.1,87.76469,19.592731,200.43283,91.0,0.0
